gender,work_experience,ssc_board,ssc_percentage,hsc_board,hsc_percentage,degree_stream,cgpa,backlogs,university,coding_score,communication_score,aptitude_score,internships,projects,certifications,status
Male,1,ICSE,96.8362277926745,ICSE,63.95425680756418,ECE,6.716242974493716,2,VTU,45.8451060949163,26.136402818265093,38.10148029276955,4,2,0,0
Female,1,State,75.78382755385365,CBSE,78.96898636739743,ECE,6.937399467586484,2,JNTU,50.35484729762578,7.805395800540371,21.74823087870541,0,1,1,0
Male,1,State,74.8626943295439,CBSE,60.11385905453345,ECE,8.362007743982053,5,Osmania,33.225431818938404,34.46147927311356,74.38211118393816,4,0,0,0
Male,1,ICSE,58.92080482817479,State,63.512443753085705,CSE,7.443993710206205,3,JNTU,3.1627450684649894,29.92366974870174,13.465440792860594,3,5,1,1
Male,0,CBSE,55.407750728667835,CBSE,75.23205279740377,ECE,5.446405381395747,0,JNTU,43.305455176149266,67.55389278171423,89.2283372015188,1,5,0,0
Female,0,ICSE,92.10534312417559,CBSE,98.7784731678041,MECH,6.937208086776174,3,Osmania,65.5091310847386,55.13626788118143,40.9399635208804,1,1,1,1
Male,1,ICSE,80.70665880937591,ICSE,80.81352446045958,CSE,5.472330589691166,2,JNTU,68.99459106135572,13.826298405578552,61.38414836549797,2,0,0,0
Male,0,CBSE,66.29122920097244,ICSE,96.80740522565117,CSE,5.953752015616906,2,VTU,0.6508646884609504,90.85041797704697,18.61843426165226,0,1,4,1
Male,1,ICSE,59.58681086951332,ICSE,97.96899271934737,CSE,5.0358721917522695,4,VTU,80.10527747728287,59.33389405048042,14.552914907983672,2,5,4,1
Female,0,ICSE,77.77486400848157,State,60.40549982102537,CSE,5.906565407423311,2,Osmania,49.24156141285469,45.768422542377685,79.88393747548555,1,5,3,1
Male,1,ICSE,79.19596446305677,CBSE,65.55968012344722,EEE,6.652236769991804,1,Osmania,52.07453613861929,93.71949271186536,42.970229191455985,0,1,0,1
Male,1,CBSE,60.34968006225291,State,88.49961406093522,MECH,7.6910921686614735,4,VTU,96.17436881703674,9.730184879790082,98.67428127262102,4,1,2,1
Male,0,State,92.5702873945737,CBSE,93.3382001145672,IT,9.596386055913662,3,Osmania,28.44611586558179,78.95929381397178,52.42979444524516,4,3,3,1
Male,0,State,54.21321830779255,CBSE,75.96133720947638,ECE,7.701634336210276,2,VTU,76.16519889681673,36.46655057200093,84.56529107576897,3,0,0,0
Female,1,CBSE,67.80465425832108,CBSE,99.66130336402746,CSE,8.528017706821707,5,JNTU,57.47762456722708,69.53897509239717,97.99636787214352,1,3,2,1
Male,1,State,84.0192206881261,ICSE,50.57860993776352,IT,6.7883854565288715,1,Osmania,70.07984615580384,93.07254276476786,28.11501615085016,4,1,4,1
Female,0,ICSE,63.70601819096004,State,64.97963277926078,EEE,8.758153967836337,4,Anna University,41.78174517811243,51.771308048541734,80.0881712155366,0,4,4,0
Female,0,State,91.38375973906359,State,81.158087687229,IT,8.102343730257386,1,VTU,27.92075389642684,2.2638823428747346,2.2006163324646,4,5,4,0
